廉颇,勇士之魂,爆裂冲撞,熔岩重击,天崩地裂,被动：廉颇释放技能过程中会处于霸体状态。进入战斗后廉颇的战意会逐渐提升，战意越高减伤越多，最多获得20%所受到的伤害。当战意充盈时，廉颇提升自身30%攻击速度。脱战后战意逐渐降低。,廉颇向指定方向发起冲锋，对敌人造成150/170/190/210/230/250（+65%物理攻击）点物理伤害并将其击飞0.5秒。 被动：第三次普攻为直拳重击，对敌人造成额外200/260/320/380/440/500（+15%物理加成）点物理伤害。,廉颇迸发狂暴力量并通过臂甲传入地面，获得350点护盾，1秒后地面会崩裂，对区域内的敌人造成100/125/150/175/200/225（+100%物理加成）（+4%最大生命加成）物理伤害，距离中心越近伤害越高，最高提升100%。技能范围内有敌人时会重置爆裂冲撞的冷却时间，并减少范围内敌人30%移动速度，非英雄单位会被拉向范围中心。技能释放期间可以使用其他技能。,廉颇跳向指定区域连续锤击地面三次，第一次：造成60/90/120（+60%物理加成）（+3%最大生命）点物理伤害和30%减速。第二次：造成90（+90%物理加成）（+4%最大生命）点物理伤害和50%减速。第三次：造成120（+150%物理加成）（+6%最大生命）点物理伤害和1秒击飞。
小乔,治愈微笑,绽放之舞,甜蜜恋风,星华缭乱,被动：小乔释放技能命中敌人时，会增加25％移动速度，持续2秒,小乔向指定方向扔出一把回旋飞行的扇子，会对第一个命中的敌人造成585/635/685/735/785/835（+80％法术加成）点法术伤害，每次命中后伤害都会衰减20％，最低衰减至初始伤害的50％。,小乔在指定区域召唤出一道旋风，对区域内敌人造成300/340/380/420/460/500（+50％法术加成）点法术伤害并击飞1.5秒，攻击盒半径240,小乔召唤流星并不断向附近的敌人坠落，召唤持续6秒，每颗流星会造成400/500/600（+100％法术加成）点法术伤害，每个敌人最多承受4次攻击，当多颗流星命中同一目标时，从第二颗流星开始将只造成50％伤害。释放期间持续获得被动加速效果。
赵云,龙鸣,惊雷之龙,破云之龙,天翔之龙,被动：赵云每损失3%最大生命值，就会获得减少1%所受到的伤害,赵云执枪向指定方向冲锋，对路径上的敌人造成190/214/238/262/286/310（+100%物理加成）点物理伤害；冲锋后的下一次普通攻击会造成65/74/83/92/101/110（+135%物理加成）点物理伤害并将其减少25/30/35/40/45/50%移动速度，持续2秒。,赵云向指定方向连续4次刺出龙枪，对指定方向敌人每次造成120/135/150/165/180/195（+48%物理加成）点物理伤害；每次命中敌方后回复25/32/39/46/53/60（+12%物理加成）点生命值。,赵云跃向空中，向目标区域发动雷霆一击，对范围内敌人造成350/450/550（+130%物理加成）点物理伤害，同时标记敌人为感电目标，对圈内敌人击飞1秒；赵云的普通攻击和技能伤害对感电目标会造成额外30/45/60（+13%物理加成）点法术伤害
墨子,兼爱非攻,和平漫步,机关重炮,墨守成规,被动：墨子连续使用普通攻击时，第四次普通攻击将变更为炮击，炮击会造成450（+70%法术加成）法术伤害，同时将目标击退0.75秒；当墨子施放技能时会获得抵免300（+35%法术加成）点伤害的护盾，持续3秒，最多叠加3层,墨子驾驶机关人向指定方向突进，对路径上的敌人造成250/300/350/400/450/500（+38法术加成）点法术伤害，并将下一次普通攻击变更为炮击,墨子驾驶机关人向指定方向发射一枚炮弹，炮弹命中敌人时会发生范围爆炸造成525/575/625/675/725/775（+45%法术加成）点法术伤害并将范围内敌人眩晕1秒，炮弹爆炸后将留下弹坑持续4秒每0.5秒造成50/56/62/68/74/80（+5%法术加成）点法术伤害。,墨子驾驶机关人展开高能屏障，对触碰到屏障的敌人每0.5秒造成200/250/300（+45%法术加成）点法术伤害并将其晕眩在原地，屏障最多持续3.3秒
妲己,失心,灵魂冲击,偶像魅力,女王崇拜,被动：妲己技能命中敌人会减少目标30~72点法术防御，持续3秒，最多叠加3层。,妲己向指定方向挥出灵魂冲击波，对命中的敌人造成570（+120%法术攻击）法术伤害。,妲己锁定敌人并抛出魅力爱心，对命中的敌人造成285/320/355/390/425/460（+66%法术加成）点法术伤害，并将其眩晕1.5秒,妲己放出5团狐火自动攻击附近的敌人，每团狐火造成325/405/485（+75%法术加成）点法术伤害，当多团狐火命中同一个目标时，从第二团狐火开始将只造成50%伤害
嬴政,王者审判,王者惩戒,王者守御,至尊王权,被动：嬴政的普通攻击可以击穿目标，并造成120（+100%物理加成）（+35%法术加成）点法术伤害；攻击机关时会衰减50%的伤害,嬴政在指定目标区域召唤黄金剑阵，持续2.5秒，每0.5秒对范围内的敌人造成145/173/201/229/257/285（+27%法术加成）点法术伤害；并减少30%移动速度，持续1秒,嬴政开启王之护盾，护盾可抵免300/330/360/390/420/450（+55%法术加成）点伤害，并对附近敌人造成200/240/280/320/360/400（+40%法术加成）点法术伤害并清空装备为他们提供的物理攻击力，持续2秒，同时嬴政在3秒内增加随时间衰减的100点移动速度, 被动：增加嬴政15/20/25/30/35/40点移动速度,嬴政展示王者权力，增加20%移动速度，持续5秒，期间将会号令90只飞剑持续向指定方向进行冲击，每只飞剑能造成64/82/100（+8%法术加成）点法术伤害，过程中嬴政可以使用其它技能
孙尚香,活力迸发,翻滚突袭,红莲爆弹,究极弩炮,被动：孙尚香每次普通攻击命中敌人都会减少0.5秒翻滚突袭的冷却时间。,孙尚香向指定方向翻滚，下一次普通攻击变更为强化射击，强化射击会对一条直线上的敌人造成270/290/310/330/350/370（+100%物理加成）点物理伤害，如果翻滚后附近有敌方英雄将会增加80%持续衰减的移动速度，持续2秒，使用强化射击后会重置下一次普通攻击并增加攻击距离。,孙尚香朝指定位置投掷爆弹，对范围内敌人造成150/170/190/210/230/250（+100%物理加成）点物理伤害并减少其90%移动速度，持续1秒。被命中的英雄和小兵还会被标记5秒，孙尚香的普攻伤害会对标记目标造成额外100/120/140/160/180/200（+20%物理加成）点物理伤害（对小兵的伤害翻倍）；命中单位后减少目标10%护甲，持续5秒。,孙尚香蓄力向指定方向发射一枚弩炮，弩炮在触碰敌人或者飞行到最远距离后将发生爆炸，对第一名触碰的敌人造成500/750/1000（+185%物理加成）点物理伤害，对爆破范围内的敌人造成75%伤害。
鲁班七号,火力压制,河豚手雷,无敌鲨嘴炮,空中支援,被动：鲁班七号连续使用普通攻击时，第五次普通攻击会掏出机关枪进行扫射，扫射会造成3次伤害，对敌人英雄每次造成其最大生命6%物理伤害（每100点额外物理攻击提升1%），每次对英雄伤害都能享受30%精准效果；对小兵野怪防御塔造成120（+50%物理加成）点物理伤害；使用技能后鲁班七号下一次普通攻击变更为扫射,鲁班向指定位置投掷一枚河豚手雷，对范围内的敌人造成450/500/550/600/650/700（+75%物理加成）点物理伤害并减少其25%移动速度，持续2秒;,鲁班向指定方向发射火箭炮击退身前敌人，命中英雄后造成400/450/500/550/600/650（+70%物理加成）点物理伤害，并附带目标已损生命5/6/7/8/9/10%法术伤害,鲁班召唤河豚飞艇向指定方向进行空中支援，支援持续14秒，河豚飞艇可照亮视野且每秒对范围内随机一个敌人投掷炸弹，炸弹会在0.65秒落下，对于目标范围内的敌人造成500/625/750（+75%物理加成）点物理伤害并受到30%的减速，持续1秒。
庄周,自然意志,化蝶,蝴蝶效应,天人合一,被动：庄周每隔6秒进入自然梦境，会解除自身所有控制效果，并且减少15%所受到的伤害，增加15%移动速度，持续2秒,庄周幻化出蝴蝶解除自身控制，蝴蝶飞向指定方向，对路径上的敌人造成400/480/560/640/720/800（+72%法术加成）点法术伤害，并减少其50%移动速度，持续2秒,庄周梦中蝴蝶扇起翅膀，对身边的敌人造成250/320/390/460/530/600（+30%法术加成）的法术伤害，并增加范围内友军3%移动速度，持续5秒，技能连续命中会叠加效果，伤害每层叠加125/160/195/230/265/300（+15%法术加成）的法术伤害，移动速度每层叠加3%，最多叠加5层；被动：庄周每隔6秒会自动释放一次蝴蝶效应,庄周幻化梦域保护附近友军，解除队友所受的控制效果并使他们免控并且获得护盾500/900/1300，持续2秒
刘禅,磁力屏障,小霸王护盾,机关魔爪,暴走熊猫,被动：刘禅可对机关释放技能造成等量伤害，并且刘禅的控制效果可对机关造成干扰效果，持续1.2秒；当刘禅技能对机关造成伤害时会掠夺零件为自身回复280/308/336/364/392点生命值，回复效果随英雄等级成长。,刘禅立即重置普攻并开启护盾向前发起冲锋，吸收600/840/1080/1320/1560/1800点伤害同时提升50%爆发衰减的移动速度持续3秒，并强化下一次普通攻击，造成350/400/450/500/550/600（+122%物理加成）点物理伤害并击飞敌人1秒。,刘禅操纵机关熊猫向指定方向伸出魔爪进行攻击，对范围内的敌人造成400/480/560/640/720/800（+100%物理加成）点物理伤害并且会将范围内敌人眩晕1秒。,刘禅操纵机关熊猫展开双臂持续旋转攻击，每0.5秒对敌人造成240/320/400（+75%物理加成）点物理伤害，持续3秒。旋转期间普攻会对敌人造成100/150/200点物理伤害和50%减速效果，持续0.5秒。
高渐离,哀歌,狂歌,离歌,魔音贯耳,被动：高渐离的普通攻击或释放技能可视作一次演奏，每三次演奏后的下一次普通攻击将会向目标弹奏出带有击穿效果的能量和弦，造成280/300/320/340/360/380（+80%法术加成）的法术伤害。,高渐离弹奏出音符，锁定附近至多2名敌人造成350/410/470/530/590/650（+47%法术加成）点法术伤害；音符命中敌人后，会向附近的敌人进行弹射，音符至多弹射2次；当多个音符命中同一目标时，从第二个音符开始将只造成30%伤害。,高渐离震慑琴弦，对附近敌人造成500/560/620/680/740/800（+65%法术加成）点法术伤害并减少其35%/40%/45%/50%/55%/60%移动速度，持续2秒，每命中一个英雄将回复125/140/155/170/185/200(+16%法术加成）生命值。,渐离释放激情，每0.5秒进行一次演奏，对附近敌人造成200/275/350（+20%法术加成）点法术伤害，持续5秒；演奏持续时自身会减少15%所受到的伤害，并且附近每个敌方英雄还将减少高渐离5%所受到的伤害；并且在演奏开始时自身会增加70%持续衰减的移动速度，持续3秒。
阿轲,死吻,弧光,瞬华,幻舞,被动：阿轲在敌人身后发起的攻击，必定暴击，在敌人正面发起的所有攻击，必定不暴击；阿轲的初始暴击伤害为125%，每1%暴击几率将额外的增加0.5%暴击伤害；阿轲对非英雄目标最多造成2000伤害。,阿轲立即向指定方向挥动双刺发动2次攻击，每次造成150/170/190/210/230/250（+65%额外物理加成）点物理伤害,阿轲朝指定方向快速位移，在抵达终点后，立即对附近的一名敌人发起攻击（优先攻击血量绝对值最低的目标），提升自己40%攻速持续3秒，造成270/306/342/378/414/450（+90%额外物理加成）点物理伤害并标记目标，持续10秒；阿轲每次攻击标记目标时会将其减少50%移动速度，持续1秒，并缩短瞬华1秒冷却时间；阿轲被标记目标攻击时会减少30%所受到的伤害；阿轲同一时间只能标记一个敌人。,阿轲短暂准备后进入隐身状态，处于隐身状态时，每0.5秒回复140/190/240（+25%额外物理加成）点生命值并增加40%移动速度，持续3秒；当阿轲发起攻击时会解除隐身状态，并在3秒内增加自身120/140/160点攻击力，同时每当对敌人造成伤害时会增加30%移动速度，持续1秒。被动：击败英雄或者助攻时刷新所有技能冷却时间。
钟无艳,石之炼金,狂飙突进,震慑打击,飓风之锤,被动：钟无艳造成伤害时，会有50%几率将敌方英雄石化0.75秒，每个敌方英雄在8秒内只会受到一次石化效果,钟无艳向指定方向突进，并将下一次普通攻击替换为重击，重击将造成225/270/315/360/405/450（+120%物理加成）点物理伤害，并且会减少50%移动速度，持续2秒,钟无艳蓄力后用大锤猛击地面，对范围内的敌人造成300/380/460/540/620/700（+145%物理加成）点物理伤害，对范围中心的敌人造成双倍伤害,钟无艳抡起大锤持续旋转攻击附近敌人，初始时获得10%加速效果，持续3.2秒，每0.4秒造成150/225/300（+80%物理加成）点物理伤害，并且当敌人处于外圈时将额外造成40%伤害；大招期间每0.4秒为自己叠加移动速度和护盾，一共可以叠加4层，每层提供5%的移动速度和35(+35/Lv)(+0.1Ad)的护盾。 被动：钟无艳召唤大地之力，每3秒生成一个持续存在的岩土护盾，岩土护盾可抵免150/300/450(+68%物理加成)点伤害。
孙膑,时间沙漏,时空爆弹,时之波动,时光流逝,被动：孙膑释放技能会增加30%移动速度，持续2秒,孙膑向指定方向投掷一枚炸弹，并附带着在目标身上，持续3秒后爆炸，附着目标时造成180/225/270/315/360/405（+18%法术加成）点法术伤害，爆炸对范围内敌人造成540/675/810/945/1080/1215（+54%法术加成）点法术伤害并减少其40%移动速度，持续2秒，解除炸弹会立即触发爆炸。,孙膑引导时空之力，使得范围内友军增加40%移动速度，持续2秒。持续时间结束后会时光倒流，并返还期间所受到30/34/38/42/46/50%的伤害，返还二技能持续期间英雄消耗的法力值和能量条的50%。,被动：孙膑获得5/7/9/11/13/15%冷却缩减。,孙膑投掷一枚强化炸弹， 命中敌人或飞行到最大距离后展开力场，对范围内敌人造成500/625/750( +45%法术攻击)法术伤害和90%减速，同时强制打断敌人技能并造成1秒沉默。  5秒后力场爆炸，再次对范围内敌人造成1500/1875/2250(+135%法术攻击)法术伤害。
扁鹊,恶德医疗,致命灵药,善恶诊断,生命主宰,被动：扁鹊的普通攻击和技能都会附带剧毒，每秒造成25（+5%法术加成）点法术伤害，并叠加1层毒药印记，伤害随英雄等级成长；当友方英雄受到善恶诊断的治疗时，每秒回复5（+2%法术加成）点生命值，并叠加1层恢复印记；毒药印记和恢复印记最多可叠加至多5层，持续7秒，友方英雄生效100%。,扁鹊朝指定目标范围扔出致命毒药瓶，毒药瓶触地后破碎，毒液会残留原地，持续4秒，毒液每秒会对范围内的敌人造成70/76/82/88/94/100（+12%法术加成）点法术伤害并减少其30%移动速度，持续2秒；扁鹊每15/14.4/13.8/13.2/12.6/12秒可制作1瓶毒药，最多存放3瓶。,扁鹊朝指定方向释放药剂，对路径上的敌人造成100/120/140/160/180/200（+30%法术加成）点法术伤害，释放时可以自动给范围内的友方英雄叠加印记和回复50/60/70/80/90/100（+15%法术加成）点生命值。,扁鹊引爆附近所有印记，对敌人造成200/250/300（+40%法术加成）点法术伤害，对友军英雄治疗80/100/120（+20%法术加成）点生命值；每层印记增加50%的额外伤害与治疗效果；除此之外，扁鹊给自己额外回复450/600/750（+30%法术加成）点生命值。
