廉颇,异变,鹰眼,隐匿,若廉颇是辅助位，则携带坦克铭文：宿命、虚空、调和；若走对抗路则携带百穿铭文：异变、鹰眼、隐匿。 廉颇团战要先手开团，利用一三技能的突进效果，可对敌方后排造成较大威胁。
小乔,梦魇,心眼,狩猎,狩猎提升10％移速加成，对于被动具有加速效果的小乔来说，适合放风筝，可以进行中远距离的输出，机动性高。心眼和梦魇提升法穿效果。对于小乔这种伤害比较高的英雄来说，增加法穿可以在对方出法抗时也打出高额伤害。
赵云,异变,鹰眼,隐匿,100的物穿使赵云在前期击杀脆皮上更加有效，在面对面前排时也有一定的击杀能力，45的物理攻击也是提高了前期的伤害量，而且在清野上也更加的快速，10%的移速加成是为了赵云在gank、支援、追击、逃跑时跑的更快。
墨子,梦魇,怜悯,狩猎,梦魇的法术攻击和穿透搭配墨子的高法强可以快速清线，消耗敌人。狩猎可使墨子更快的打出普攻的被动。而怜悯的10%冷却可让墨子的技能冷却更快
妲己,梦魇,怜悯,轮回,妲己是一个拥有超强爆发的法师英雄，231可以秒杀大多数脆皮英雄，红色梦魇可以提供法术强度和穿透，蓝色轮回可以提升法术强度和吸血赖线能力，绿色怜悯可以减少CD，在中后期几秒就可以释放一套231连招秒人。
嬴政,红月,心眼,狩猎,嬴政前期较其他法师类英雄普攻伤害很高，而且带有穿透效果，适合带攻速类铭文提高普攻输出，提高清兵速度，移速提高了嬴政的支援速度和自保能力。
孙尚香,祸源,鹰眼,隐匿,蓝色隐匿移速方便孙尚香更好的移动寻找输出位置，团战支援也比较迅速，物理攻击可以提伤害。绿色鹰眼，穿透护甲后孙尚香的攻击伤害会更高。前期在有祸源铭文的情况下，暴击更多，清野，清兵线的速度更快，发育更快。
鲁班七号,异变,鹰眼,隐匿,鲁班七号的核心玩法是利用1技能后的被动扫射在短时间内打出超额爆发，百穿的增益可以确保鲁班七号的有效伤害，攻速收益可以帮鲁班七号更容易叠被动，移速可以帮鲁班增加逃生能力。
庄周,梦魇,心眼,轮回,新版本的庄周不仅仅是一个只能辅助的坦克，其被动结合二技能叠起四层被动，可打出爆炸伤害。庄周佩戴输出铭文，提高法术攻击、法术吸血、法术穿透的能力，让庄周前期也能拥有很强的输出能力，为团队建立优势。
刘禅,宿命,虚空,调和,宿命增加刘禅的坦克能力；调和，配合1技能控制效果，可以黏住大多数核心输出；刘禅的技能有控制和拆塔的效果，虚空的冷却缩减可以起到加快拆塔速度的作用。
高渐离,梦魇,心眼,贪婪,高渐离是一名AOE输出爆炸的法师英雄，高额的法术收益和法穿可以帮助他打出更多的伤害，吸血恢复能力可以提升高渐离的赖线能力，打团时利用免伤和恢复可以有更好的生存能力，攻速加成可以更容易组合技能打出被动伤害。
阿轲,无双,鹰眼,狩猎,选择无双提升暴击效果，配合无尽大大提升阿轲的爆发能力，狩猎的移速配合位移大招，可以让阿轲更轻松接近对手完成刺杀，攻速可以让阿轲在背击时可以配合技能完成普攻，鹰眼的物穿效果可以为阿轲提供稳定的输出能力。
钟无艳,异变,鹰眼,调和,调和提高最大生命以及移速加成，提升回复能力；鹰眼和异变提高物理攻击和物理穿透，在一定程度上的提高了钟无艳的伤害，抗伤害的同时自身也可以打出伤害。
孙膑,梦魇,回声,狩猎,孙膑作为一个辅助，他需要高频率的释放技能来辅助队友。回声提供冷却缩减与双抗，增加续航能力。梦魇适当地增加伤害。狩猎增加移速可以提升机动性。
扁鹊,凶兆,心眼,狩猎,对扁鹊来说最重要的是攻速和冷却，冷却效果可以通过装备补充，选择标准的攻速铭文可以让扁鹊轻松普攻叠加被动到5层，达到最大收益，穿透效果可以帮助扁鹊在前期达到伤害最大化，移速可以增加扁鹊gank支援能力。
白起,宿命,虚空,调和,红色宿命可以增加攻速与物理防御，蓝色调和可以让白起更加灵活。绿色虚空可以增加白起的冷却缩减。同时三种铭文都可以增加血量，让白起扛得住伤害。
芈月,梦魇,怜悯,狩猎,红色梦魇提供了法术攻击和法术穿透的加成，可以在前期让芈月有非常高的伤害，芈月的持续伤害源于技能和被动，因此选择可以增加攻速的铭文狩猎。绿色选择怜悯，减少芈月技能冷却的时间。
吕布,红月,虚空,隐匿,吕布作为一名近战英雄，物理攻击及生存能力至关重要，移速的增加能提高吕布的支援速度，在战场上以更灵活的身姿作战，6%的冷却缩减可让吕布更频繁地使用技能去打出更多的伤害
周瑜,梦魇,献祭,贪婪,周瑜作为一名法师，符文主要补充法术穿透和法术吸血，高级符文补充一些冷却缩短
夏侯惇,宿命,鹰眼,调和,夏侯惇是一个典型的坦克英雄，红色宿命提供攻速和生命物理防御；蓝色铭文调和补充移速和生命回血，更加方便于支援游走；同时绿色鹰眼补足一些伤害。
甄姬,梦魇,怜悯,轮回,这套铭文提供法术强度、法术穿透、冷却减缩，以及法术吸血。法术穿透和法术强度增加甄姬的输出能力，法术吸血让甄姬有一定的续航能力，冷却减缩减少技能CD，让甄姬能更快得打出技能被动冰冻敌方并造成伤害。
曹操,宿命,鹰眼,狩猎,曹操作为一名战士，宿命提高突进时的生存能力，鹰眼保证在切入后排时能有足够的伤害击杀脆皮，狩猎提供的移动速度提高机动性。
典韦,传承,虚空,隐匿,典韦是后期英雄，输出更依赖于大招的真实伤害，传承可以让他造成更多真实伤害，隐匿移速提升配合1技能可以黏住敌方核心输出英雄，虚空提升一定的坦克能力。
